Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
,,"RNA","V","Escherichia coli str. K-12 substr. MDS42"
,,,"YB"
,,"RNA","AC","Escherichia coli str. K-12 substr. MDS42"
,,,"X"
,,,"ZB"
,,,"W"
,,"RNA","BC"
,,,"Y"
,,"RNA","CC","Thermus thermophilus HB8"
,,,"Z"
,,"RNA","AA","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","JC","Thermus thermophilus HB8"
,,,"GA"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","MC","Thermus thermophilus HB8"
,,,"JA"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","UC","Thermus thermophilus HB8"
,,,"RA"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","WC","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","YC","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","WA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","CD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"DD"
,,"Protein","BB","Thermus thermophilus HB8"
,,,"ED"
,,"Protein","CB","Thermus thermophilus HB8"
,,,"FD"
"4V8C","RIBOSOME/ANTIBIOTIC","RNA","A","Thermus thermophilus HB8"
,,,"EA"
,,"RNA","B","Thermus thermophilus HB8"
,,,"FA"
,,"Protein","C","Thermus thermophilus HB8"
,,,"GA"
,,"Protein","D","Thermus thermophilus HB8"
,,,"HA"
,,"Protein","E","Thermus thermophilus HB8"
,,,"IA"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"F"
,,"Protein","G","Thermus thermophilus HB8"
,,,"KA"
,,"Protein","H","Thermus thermophilus HB8"
,,,"LA"
,,"Protein","I","Thermus thermophilus HB8"
,,,"MA"
,,"Protein","J","Thermus thermophilus HB8"
,,,"NA"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"K"
,,"Protein","L","Thermus thermophilus HB8"
,,,"PA"
,,"Protein","M","Thermus thermophilus HB8"
,,,"QA"
,,"Protein","N","Thermus thermophilus HB8"
,,,"RA"
,,"Protein","O","Thermus thermophilus HB8"
,,,"SA"
,,"Protein","P","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"UA"
,,"Protein","R","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","WA","Thermus thermophilus HB8"
,,,"S"
,,"Protein","T","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","U","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","V","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"W"
,,"Protein","BB","Thermus thermophilus HB8"
,,,"X"
,,"Protein","CB","Thermus thermophilus HB8"
,,,"Y"
,,"Protein","Z","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"FB"
,,"Protein","GB","Thermus thermophilus HB8"
,,,"CA"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"HB"
,,"RNA","HC","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","IC","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","JC","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","KC","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","LC","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","MC","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","NC","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","OC","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","PC","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","QC","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","RC","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","SC","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","TC","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","UC","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","VC","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","WC","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","XC","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","YC","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"BC"
,,"Protein","BD","Escherichia coli str. K-12 substr. MDS42"
,,,"CC"
,,"RNA","CD"
,,,"DC"
,,"RNA","DD","Escherichia coli str. K-12 substr. MDS42"
,,,"EC"
,,,"ED"
,,,"FC"
,,"RNA","GC"
,,,"FD"
"4V8D","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"FB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","JB","Thermus thermophilus HB8"
,,,"G"
,,"Protein","H","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","U","Escherichia coli str. K-12 substr. MDS42"
,,,"XB"
,,"RNA","AC"
,,,"V"
,,,"X"
,,,"YB"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"ZB"
,,"RNA","BC"
,,,"Y"
,,"RNA","CC","Thermus thermophilus HB8"
,,,"Z"
,,"RNA","AA","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","EC","Thermus thermophilus HB8"
,,,"BA"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","GC","Thermus thermophilus HB8"
,,,"DA"
,,"Protein","HC","Thermus thermophilus HB8"
,,,"EA"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","LC","Thermus thermophilus HB8"
,,,"IA"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","RC","Thermus thermophilus HB8"
,,,"OA"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"UC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","WC","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","VA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","WA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","CD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"DD"
,,"Protein","BB","Thermus thermophilus HB8"
,,,"ED"
,,"Protein","CB","Thermus thermophilus HB8"
,,,"FD"
"4V8E","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"DB"
,,"RNA","B","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","FB","Thermus thermophilus HB8"
,,,"C"
,,"Protein","D","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","JB","Thermus thermophilus HB8"
,,,"G"
,,"Protein","KB","Thermus thermophilus HB8"
,,,"H"
,,"Protein","I","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","UB","Thermus thermophilus HB8"
,,,"R"
,,"Protein","S","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","U","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","V","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","W","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"X"
,,"Protein","BC","Thermus thermophilus HB8"
,,,"Y"
,,"Protein","CC","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","FC","Thermus thermophilus HB8"
,,,"CA"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"GC"
,,"RNA","EA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","KC","Thermus thermophilus HB8"
,,,"HA"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","RC","Thermus thermophilus HB8"
,,,"OA"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"UC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","TA","Thermus thermophilus HB8"
,,,"WC"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","YC","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","WA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","BD","Escherichia coli str. K-12 substr. MDS42"
,,,"YA"
,,"RNA","BB"
,,,"CD"
,,,"ED"
,,,"ZA"
,,"RNA","AB","Escherichia coli str. K-12 substr. MDS42"
,,,"DD"
,,"RNA","CB"
,,,"FD"
"4V8F","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"CC"
,,"RNA","B","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","C","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","D","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","E","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","F","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","G","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","JC","Thermus thermophilus HB8"
,,,"H"
,,"Protein","I","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","J","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","K","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","L","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","M","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","N","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","QC","Thermus thermophilus HB8"
,,,"O"
,,"Protein","P","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","SC","Thermus thermophilus HB8"
,,,"Q"
,,"Protein","R","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","UC","Thermus thermophilus HB8"
,,,"S"
,,"Protein","T","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","U","Thermus thermophilus HB8"
,,,"WC"
,,"Protein","XC","Thermus thermophilus HB8"
,,,"V"
,,"Protein","W","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","X","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"Y"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"CD"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"DD"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"ED"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"FD"
,,"RNA","DB","Thermus thermophilus HB8"
,,,"EA"
,,"Protein","EB","Thermus thermophilus HB8"
,,,"FA"
,,"Protein","FB","Thermus thermophilus HB8"
,,,"GA"
,,"Protein","GB","Thermus thermophilus HB8"
,,,"HA"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","JB","Thermus thermophilus HB8"
,,,"KA"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","LB","Thermus thermophilus HB8"
,,,"MA"
,,"Protein","MB","Thermus thermophilus HB8"
,,,"NA"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","OB","Thermus thermophilus HB8"
,,,"PA"
,,"Protein","PB","Thermus thermophilus HB8"
,,,"QA"
,,"Protein","QB","Thermus thermophilus HB8"
,,,"RA"
,,"Protein","RB","Thermus thermophilus HB8"
,,,"SA"
,,"Protein","SB","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","TB","Thermus thermophilus HB8"
,,,"UA"
,,"Protein","UB","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","VB","Thermus thermophilus HB8"
,,,"WA"
,,"Protein","WB","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","XB","Escherichia coli str. K-12 substr. MDS42"
,,,"YA"
,,"RNA","YB"
,,,"ZA"
,,,"AC"
,,,"BB"
,,"RNA","AB","Escherichia coli str. K-12 substr. MDS42"
,,,"ZB"
,,"RNA","BC"
,,,"CB"
"4V8G","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"BB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"CB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"FB"
,,"Protein","GB","Thermus thermophilus HB8"
,,,"F"
,,"Protein","G","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","H","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","QB","Thermus thermophilus HB8"
,,,"P"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","SB","Thermus thermophilus HB8"
,,,"R"
,,"Protein","TB","Thermus thermophilus HB8"
,,,"S"
,,"Protein","T","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","VB","Thermus thermophilus HB8"
,,,"U"
,,"Protein","V","Escherichia coli K-12"
,,,"WB"
,,"RNA","W","Thermus thermophilus HB8"
,,,"XB"
,,"RNA","X","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","Y","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","BC","Thermus thermophilus HB8"
,,,"AA"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"CC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","IC","Thermus thermophilus HB8"
,,,"HA"
,,"Protein","JC","Thermus thermophilus HB8"
,,,"IA"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","NC","Thermus thermophilus HB8"
,,,"MA"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","UC","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","VA","Thermus thermophilus HB8"
,,,"WC"
,,"Protein","WA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","XA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","YA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"BD"
"4V8H","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"BB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"CB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","FB","Thermus thermophilus HB8"
,,,"E"
,,"Protein","F","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","G","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","H","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","U","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","V","Escherichia coli K-12"
,,,"WB"
,,"RNA","W","Thermus thermophilus HB8"
,,,"XB"
,,"RNA","X","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","Y","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"BC"
,,"Protein","CC","Thermus thermophilus HB8"
,,,"BA"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","TC","Thermus thermophilus HB8"
,,,"SA"
,,"Protein","UC","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","WC","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","WA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","XA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","YA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"BD"
"4V8I","Ribosome/Inhibitor","RNA","A","Thermus thermophilus"
,,,"BB"
,,"Protein","B","Thermus thermophilus"
,,,"CB"
,,"Protein","C","Thermus thermophilus"
,,,"DB"
,,"Protein","D","Thermus thermophilus"
,,,"EB"
,,"Protein","FB","Thermus thermophilus"
,,,"E"
,,"Protein","F","Thermus thermophilus"
,,,"GB"
,,"Protein","G","Thermus thermophilus"
,,,"HB"
,,"Protein","H","Thermus thermophilus"
,,,"IB"
,,"Protein","JB","Thermus thermophilus"
,,,"I"
,,"Protein","KB","Thermus thermophilus"
,,,"J"
,,"Protein","K","Thermus thermophilus"
,,,"LB"
,,"Protein","L","Thermus thermophilus"
,,,"MB"
,,"Protein","NB","Thermus thermophilus"
,,,"M"
,,"Protein","N","Thermus thermophilus"
,,,"OB"
,,"Protein","O","Thermus thermophilus"
,,,"PB"
,,"Protein","P","Thermus thermophilus"
,,,"QB"
,,"Protein","Q","Thermus thermophilus"
,,,"RB"
,,"Protein","R","Thermus thermophilus"
,,,"SB"
,,"Protein","TB","Thermus thermophilus"
,,,"S"
,,"Protein","T","Thermus thermophilus"
,,,"UB"
,,"Protein","VB","Thermus thermophilus"
,,,"U"
,,"Protein","V","Escherichia coli K-12"
,,,"WB"
,,"RNA","W","Thermus thermophilus"
,,,"XB"
,,"RNA","X","Thermus thermophilus"
,,,"YB"
,,"Protein","Y","Thermus thermophilus"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus"
,,,"Z"
,,"Protein","AA","Thermus thermophilus"
,,,"BC"
,,"Protein","BA","Thermus thermophilus"
,,,"CC"
,,"Protein","CA","Thermus thermophilus"
,,,"DC"
,,"Protein","DA","Thermus thermophilus"
,,,"EC"
,,"Protein","EA","Thermus thermophilus"
,,,"FC"
,,"Protein","FA","Thermus thermophilus"
,,,"GC"
,,"Protein","GA","Thermus thermophilus"
,,,"HC"
,,"Protein","HA","Thermus thermophilus"
,,,"IC"
,,"Protein","IA","Thermus thermophilus"
,,,"JC"
,,"Protein","KC","Thermus thermophilus"
,,,"JA"
,,"Protein","LC","Thermus thermophilus"
,,,"KA"
,,"Protein","MC","Thermus thermophilus"
,,,"LA"
,,"Protein","MA","Thermus thermophilus"
,,,"NC"
,,"Protein","NA","Thermus thermophilus"
,,,"OC"
,,"Protein","OA","Thermus thermophilus"
,,,"PC"
,,"Protein","PA","Thermus thermophilus"
,,,"QC"
,,"Protein","QA","Thermus thermophilus"
,,,"RC"
,,"Protein","RA","Thermus thermophilus"
,,,"SC"
,,"Protein","SA","Thermus thermophilus"
,,,"TC"
,,"Protein","TA","Thermus thermophilus"
,,,"UC"
,,"Protein","UA","Thermus thermophilus"
,,,"VC"
,,"Protein","WC","Thermus thermophilus"
,,,"VA"
,,"Protein","XC","Thermus thermophilus"
,,,"WA"
,,"Protein","YC","Thermus thermophilus"
,,,"XA"
,,"Protein","YA","Thermus thermophilus"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus"
,,,"BD"
"4V8N","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","G","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","H","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","PB","Thermus thermophilus HB8"
,,,"J"
,,"Protein","K","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","WB","Thermus thermophilus HB8"
,,,"Q"
,,"Protein","R","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"U"
,,"RNA","BC","Haloarcula marismortui"
,,,"EC"
,,,"V"
,,,"Y"
,,"RNA","CC","Haloarcula marismortui"
,,,"W"
,,"RNA","X","Escherichia coli"
,,,"DC"
,,"Protein","Z","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","JC","Thermus thermophilus HB8"
,,,"DA"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"MC"
